Greenfield school - meet us upstairs,Bridge,2016-03-24,17:30,30
Testing event,Bridge,2016-03-23,16:30,30
Yet another event,Environment Gallery,2016-03-23,12:00,15
Take a Spin on the Multi-axis trainer,Body Fantastic,2016-03-29,15:30,30
Meet a critter:  Alphie the Corn Snake,Environment Gallery,2016-03-15,17:30,15
Makerspace Program: Scribble Bots,Environment Gallery,2016-03-15,10:00,15
Exploration Station,Space Place,2016-03-29,11:45,45
"Meet a critter"" Shelob the Tarantula",Environment Gallery,2016-03-15,9:30,30
Meet a shrimp at the Touch Tank!,Robotics Lab,2016-03-29,13:30,60
Meet a shrimp at the Touch Tank!,Computer Lab,2016-03-29,14:30,75
Meet a shrimp at the Touch Tank!,Feature Exhibit,2016-03-29,16:30,60
Meet a shrimp at the Touch Tank!,Star Theatre,2016-03-15,16:30,90
Meet a shrimp at the Touch Tank!,Starlight Room,2016-03-15,16:30,60
Meet a shrimp at the Touch Tank!,Discoveryland,2016-03-11,16:30,60
Welcome Neil M. Ross Elementary School,Bridge,2016-03-29,13:00,120
Take a spin on the multi-axis trainer,Body Fantastic,2016-05-01,10:45,60
Animal Encounter: Alphie the Corn Snake,Environment Gallery,2016-05-01,10:45,45
Science on a Sphere Show - LIVE,Environment Gallery,2016-05-01,12:00,30
Workshop Activity: Wind Tunnel Challenge,Science Garage,2016-04-30,14:00,120
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-04-24,10:45,60
Workshop Activity: Circuit Blocks,Science Garage,2016-04-24,11:00,120
Workshop Activity: Wind Tunnel,Science Garage,2016-04-24,14:00,120
Animal Encounter,Environment Gallery,2016-04-24,10:45,45
Science on a Sphere Show - LIVE,Environment Gallery,2016-04-24,12:00,30
Test,Body Fantastic,2016-04-20,11:00,5
Exploration Station:,Body Fantastic,2016-04-24,12:45,120
Touch a sea star at the Touch Tank,Environment Gallery,2016-04-24,12:45,30
Exploration Station: Forensic Mysteries,Bridge,2016-04-24,13:30,120
Science on a Sphere Show - LIVE,Environment Gallery,2016-04-24,14:15,30
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-04-24,15:15,60
Animal Encounter,Environment Gallery,2016-04-24,15:15,45
Explore invertebrates at the Touch Tank,Environment Gallery,2016-04-24,16:30,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-04-24,13:00,45
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-04-24,14:00,45
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-04-24,15:00,45
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-04-24,16:00,45
The Illuminating Light Show – LIVE,Science Demos,2016-04-24,12:00,30
Super Duper Chemistry - LIVE,Science Demos,2016-04-24,13:00,30
Fire & Fury - LIVE,Science Demos,2016-04-24,14:00,30
Cryogenics: The Ultimate in Cool - LIVE,Science Demos,2016-04-24,15:00,30
Arcs & Sparks - LIVE,Science Demos,2016-04-24,16:00,30
The Sound of Science - LIVE,Science Demos,2016-04-30,17:00,30
Workshop Activity: Catapults,Science Garage,2016-04-30,17:00,120
Workshop Activity: Hex Bug Habitats,Science Garage,2016-05-01,11:00,120
The Illuminating Light Show - LIVE,Science Demos,2016-05-01,12:00,30
Science on a Sphere show - LIVE,Environment Gallery,2016-05-01,12:00,30
Exploration Station,Body Fantastic,2016-05-01,12:45,120
Touch a seastar at the Touch Tank,Environment Gallery,2016-05-01,12:45,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-01,13:00,45
Super Duper Chemistry - LIVE,Science Demos,2016-05-01,13:00,30
Exploration Station: Forensic Science,Bridge,2016-05-01,13:30,120
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-01,14:00,45
Fire & Fury- LIVE,Science Demos,2016-05-01,14:00,30
Workshop Activity: Air Compressor Rockets,Science Garage,2016-05-01,14:00,120
Science on a Sphere show - LIVE,Environment Gallery,2016-05-01,14:15,30
Cryogenics: The Ultimate Cool - LIVE,Science Demos,2016-05-01,15:00,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-01,15:00,45
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-01,15:15,60
Animal Encounter,Environment Gallery,2016-05-01,15:15,45
Arcs n Sparks - LIVE,Science Demos,2016-05-01,16:00,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-01,16:00,45
Meet a prawn at the Touch Tank,Environment Gallery,2016-05-01,16:30,30
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-14,10:45,60
Exploration Station: Plants,Environment Gallery,2016-05-14,10:45,60
Exploration Station: Forensic Science,Bridge,2016-05-14,13:30,120
Exploration Station,Body Fantastic,2016-05-14,12:45,120
The Illuminating Light Show - LIVE,Science Stage,2016-05-14,12:00,30
Super Duper Chemistry - LIVE,Science Stage,2016-05-14,13:00,30
Cryogenics: The Ultimate Cool - LIVE,Science Stage,2016-05-14,15:00,30
Arcs n Sparks - LIVE,Science Stage,2016-05-14,17:00,30
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-14,15:15,60
Meet a seastar at the Touch Tank,Environment Gallery,2016-05-14,16:30,30
Meet a crab at the Touch Tank,Environment Gallery,2016-05-14,12:45,30
Exploration Station: Plants,Environment Gallery,2016-05-14,15:00,60
Mission: Program a LEGO Robot,Robotics Lab,2016-05-14,13:00,45
Mission: Program a LEGO Robot,Robotics Lab,2016-05-14,14:00,45
Mission: Program a LEGO Robot,Robotics Lab,2016-05-14,15:00,45
Mission: Program a LEGO Robot,Robotics Lab,2016-05-14,16:00,45
Exploration Station,Space Place,2016-05-07,14:30,120
Meet Roger Robot,Space Place,2016-05-07,12:45,60
Workshop Activity: Scribble Bots,Science Garage,2016-05-14,11:00,120
Workshop Activity: Circuit Blocks,Science Garage,2016-05-14,13:00,120
Workshop Activity: HEX Bug Habitats,Science Garage,2016-05-14,17:00,120
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-08,10:45,60
Exploration Station: Plants,Environment Gallery,2016-05-08,10:45,90
Exploration Station,Body Fantastic,2016-05-08,12:45,120
Exploration Station: Forensic Science,Bridge,2016-05-08,13:30,120
Mission: Program a LEGO Robot,Robotics Lab,2016-05-08,13:00,45
Mission: Program a LEGO Robot,Robotics Lab,2016-05-08,14:00,45
Mission: Program a LEGO Robot,Robotics Lab,2016-05-08,15:00,45
Mission: Program a LEGO Robot,Robotics Lab,2016-05-08,16:00,45
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-08,15:15,60
Workshop Activity: Air Compressor Rockets,Science Garage,2016-05-08,14:00,120
Workshop Activity: Towers,Science Garage,2016-05-08,11:00,120
Meet a crab at the Touch Tank,Environment Gallery,2016-05-08,16:30,30
Meet a seastar at the Touch Tank,Environment Gallery,2016-05-08,12:45,30
Exploration Station: Plants,Environment Gallery,2016-05-08,15:00,60
Science on a Sphere show - LIVE,Environment Gallery,2016-05-08,12:00,30
Science on a Sphere show - LIVE,Environment Gallery,2016-05-08,14:15,30
The Illuminating Light Show – LIVE,Science Stage,2016-05-08,12:00,30
Super Duper Chemistry – LIVE,Science Stage,2016-05-08,13:00,30
Cryogenics: The Ultimate in Cool – LIVE,Science Stage,2016-05-08,15:00,45
Arcs & Sparks – LIVE,Science Stage,2016-05-08,16:00,30
LIVE Science Demonstration,Science Stage,2016-05-08,14:00,30
Science on a Sphere Show – LIVE,Environment Gallery,2016-05-14,12:00,30
Science on a Sphere Show – LIVE,Environment Gallery,2016-05-14,14:15,30
The Sound of Science – LIVE,Science Stage,2016-05-14,17:00,30
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-15,10:45,60
Exploration Station: Plant a glove garden,Environment Gallery,2016-05-15,10:45,60
Science on a Sphere Show – LIVE,Environment Gallery,2016-05-15,12:00,30
Exploration Station,Body Fantastic,2016-05-15,12:45,120
Meet a hermit crab at the Touch Tank,Environment Gallery,2016-05-15,12:45,30
Exploration Station: Forensic Science,Bridge,2016-05-15,13:30,105
Science on a Sphere Show – LIVE,Environment Gallery,2016-05-15,14:15,30
Exploration Station: Plant a glove garden,Environment Gallery,2016-05-15,15:00,60
Take a spin on the Multi-Axis Trainer,Body Fantastic,2016-05-15,15:15,60
Touch a sea star at the Touch Tank,Environment Gallery,2016-05-15,16:30,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-15,13:00,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-13,14:00,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-15,15:00,30
Robotics Mission: Program a LEGO Robot,Robotics Lab,2016-05-15,16:00,30
The Illuminating Light Show – LIVE,Science Stage,2016-05-15,13:00,30
Super Duper Chemistry – LIVE,Science Stage,2016-05-15,14:00,30
Cryogenics: The Ultimate in Cool – LIVE,Science Stage,2016-05-15,15:00,30
Speaker Series: From Fingerprints to Footprints,IMAX Theatre,2016-05-19,19:00,30
Speaker Series: Using Behavioural Clues to Assess Threats,IMAX Theatre,2016-05-19,19:45,30
Liquid Nitrogen Ice Cream,Science Stage,2016-05-19,19:30,30
Liquid Nitrogen Ice Cream,Science Stage,2016-05-19,20:30,30
Liquid Nitrogen Ice Cream,Science Stage,2016-05-19,21:30,30
LEGO Robotics Missions,Robotics Lab,2016-05-19,19:00,180
Last Call for Alcohol,Lobby,2016-05-19,21:30,5
Workshop Activity: Wind Tunnel Challenge,Science Garage,2016-05-23,11:00,120
